FP1,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,T7,C3,Cz,C4,T8,TP9,CP5,CP1,CP2,CP6,TP10,P7,P3,Pz,P4,P8,PO9,O1,Oz,O2,PO10
-7.840116752,21.73338159,7.220204297,9.322198147,-18.85244733,0.783463633,11.84380217,5.977620121,-21.77511099,-18.16949888,13.85309314,-16.40154852,-20.67440006,14.49660114,-6.673720592,-18.16431272,-13.83824884,16.46386803,13.58802008,-10.51373199,-6.220819077,2.891196996,8.736565166,-14.96557868,22.3786566,5.26688372,13.15051953,-23.89082897,-22.3946295,15.77650174,-12.07721669,-4.191160296
-18.97706738,-11.6673705,-13.40149809,-22.17123908,6.10456613,5.608379117,-8.428539332,-6.941402897,24.61303609,-14.63546576,-11.40510261,-18.51316849,1.237849042,-4.794314459,5.813008586,21.09606614,-14.54185276,-3.476930852,23.87435621,-13.78740363,-4.323409631,-10.29122543,-23.25102449,-16.54609544,-3.028830171,22.64083597,-23.32948341,24.03956198,14.6685439,17.15914944,16.72459623,-17.93297612
-23.08036971,-23.22754758,-8.134917326,-22.69971285,-23.8811547,-18.08421531,7.981389877,22.07073133,17.02143283,24.78235852,22.04994882,-20.91150363,11.58852705,15.9117477,16.58914616,-17.30084782,6.730332977,-1.991001028,13.05018234,5.138311397,-10.21985862,-15.69228173,-1.276613645,4.956741291,11.6747201,-16.58911174,4.916344468,14.65943975,-3.42560912,-1.207754113,5.054327674,20.84932154
-20.58711537,2.206353279,-20.38561609,-17.08415298,12.04522681,11.89314897,-19.72466641,20.52565013,8.500688247,-9.551154091,-11.93824116,-23.11532774,14.24095176,6.231904614,-19.6582794,19.11840398,1.359583075,-18.37614121,11.89760674,-6.007928828,5.798344231,10.74849016,8.188844234,1.051156627,-12.23593415,-20.5859649,-6.16289499,13.09841682,22.25510129,19.86042879,-16.47527562,-9.464152153
3.164549271,10.20955237,-24.99503862,-13.52092811,21.35850058,2.406206008,-6.320930499,-16.73752134,9.272314946,19.07773043,8.183110153,13.62876196,5.964758556,3.605304713,-14.98699871,8.002191514,-22.44588291,19.50067685,-4.127111708,-14.66386362,8.646552059,16.62709968,-3.644350545,2.759057991,-13.26158051,23.94400319,-12.03045789,17.65241601,-16.77738232,19.7925844,20.79951452,-7.22200195
2.195863058,7.412803513,22.58471351,15.83171741,1.11096297,-0.001868848,20.11069476,-23.09899609,-7.281778427,22.2619684,-11.22884742,-0.138662348,24.48816608,19.48174001,23.50889414,-13.32696306,-10.40738598,19.43725977,-21.3653742,14.56626579,18.64269593,-6.405881359,16.437011,-22.91828648,6.135257826,1.46786216,19.69244075,-9.769573575,-11.9158489,21.59161611,-3.264200728,-12.14337518
-23.57713755,13.68348784,22.87784851,17.56399406,11.61119887,20.78356056,7.914375918,19.82172692,-9.019419008,-12.30399852,-21.69317506,15.79294389,3.459934959,6.688386549,-4.361176703,-19.4039674,-10.32488381,11.9643173,14.97830287,8.975376068,-19.36762462,0.258488265,24.55432209,14.91031204,4.391273505,8.694390445,9.387556917,-10.89497245,-20.98313864,-12.99493314,21.87670438,16.76740145
12.80484364,21.5981907,19.1970888,21.38783064,-18.72401973,-14.73724577,3.087134575,-21.71843432,23.1077324,-24.58235151,7.818141667,12.612257,-15.61809706,-19.21538984,-8.107337348,-19.39027937,-0.373314105,-7.989210915,18.55906278,-6.603538747,20.33988284,-24.1268323,-17.55504477,-11.93943612,-11.79116304,11.82602542,-6.815081667,11.87558654,22.7944886,-17.91185001,-9.248785654,-7.874862764
11.62686854,-6.836883686,19.47820424,4.772327846,23.96894394,-16.56106432,12.40825236,20.23505103,6.527251804,14.89933062,4.046177798,-2.043820088,3.659302853,-13.24403167,-10.30153127,20.28254141,-23.73986403,10.14334691,-14.73023648,8.587808383,-14.7155652,-24.16405217,-11.19917365,-13.96917685,-12.12764781,7.118605567,-22.19588088,-21.51643558,11.79992147,17.93237413,-16.60399583,19.66180419
-15.23664153,-13.92921942,14.3805503,16.62732218,-14.34096318,-10.36830923,4.167313745,-24.6661477,-4.70600073,-12.51697244,-10.68755293,2.281863266,-16.66744043,-11.72231339,-23.74008772,15.76530369,-10.34847814,17.37098428,18.11687458,2.665743704,20.1307928,24.8022929,11.62064356,16.12989201,-8.129322069,-5.516844482,-2.86393142,0.32995639,-17.56258962,11.40852304,-6.777784877,-14.75477345
